"","ifs","year","countryname","system","liec","eiec","pluralty","pr","sensys","thresh","select","auton","muni","state","author","country","conflict","confovergov","confoverter","confoverboth"
"1","AFG",1975,"Afghanistan",0,1,2,-999,-999,-999,-999,-999,0,0,0,NA,700,0,0,0,0
"2","AFG",1976,"Afghanistan",0,1,2,-999,-999,-999,-999,-999,0,0,0,NA,700,0,0,0,0
"3","AFG",1977,"Afghanistan",0,1,2,-999,-999,-999,-999,-999,0,0,0,NA,700,0,0,0,0
"4","AFG",1978,"Afghanistan",0,1,2,-999,-999,-999,-999,-999,0,0,0,NA,700,1,1,0,0
"5","AFG",1979,"Afghanistan",0,1,2,-999,-999,-999,-999,-999,0,0,0,NA,700,1,1,0,0
"6","AFG",1980,"Afghanistan",0,1,2,-999,-999,-999,-999,-999,0,0,0,NA,700,1,1,0,0
"7","AFG",1981,"Afghanistan",0,3.5,2,-999,-999,-999,-999,NA,0,0,0,NA,700,1,1,0,0
"8","AFG",1982,"Afghanistan",0,3.5,2,-999,-999,-999,-999,NA,0,0,0,NA,700,1,1,0,0
"9","AFG",1983,"Afghanistan",0,3.5,2,-999,-999,-999,-999,NA,0,0,0,NA,700,1,1,0,0
"10","AFG",1984,"Afghanistan",0,3.5,2,-999,-999,-999,-999,NA,0,0,0,NA,700,1,1,0,0
"11","AFG",1985,"Afghanistan",0,3.5,2,-999,-999,-999,-999,NA,0,0,0,NA,700,1,1,0,0
"12","AFG",1986,"Afghanistan",0,3.5,2,-999,-999,-999,-999,NA,0,0,0,NA,700,1,1,0,0
"13","AFG",1987,"Afghanistan",0,3.5,2,-999,-999,-999,-999,NA,0,0,0,NA,700,1,1,0,0
"14","AFG",1988,"Afghanistan",0,3.5,2,-999,-999,-999,-999,NA,0,1,0,NA,700,1,1,0,0
"15","AFG",1989,"Afghanistan",0,1,1,-999,-999,-999,-999,NA,0,1,0,NA,700,1,1,0,0
"16","AFG",1990,"Afghanistan",0,1,1,-999,-999,-999,-999,NA,0,1,0,NA,700,1,1,0,0
"17","AFG",1991,"Afghanistan",0,1,1,-999,-999,-999,-999,NA,0,1,0,NA,700,1,1,0,0
"18","AFG",1992,"Afghanistan",0,1,1,-999,-999,-999,-999,NA,0,1,0,NA,700,1,1,0,0
"19","AFG",1993,"Afghanistan",0,1,1,-999,-999,-999,-999,NA,0,1,0,NA,700,1,1,0,0
"20","AFG",1994,"Afghanistan",0,1,1,-999,-999,-999,-999,NA,0,1,0,NA,700,1,1,0,0
"21","AFG",1995,"Afghanistan",0,1,1,-999,-999,-999,-999,NA,0,1,0,NA,700,1,1,0,0
"22","AFG",1996,"Afghanistan",0,1,1,-999,-999,-999,-999,NA,0,1,0,NA,700,1,1,0,0
"23","AFG",1997,"Afghanistan",0,1,1,-999,-999,-999,-999,NA,0,0,0,NA,700,1,1,0,0
"24","AFG",1998,"Afghanistan",0,1,1,-999,-999,-999,-999,NA,0,0,0,NA,700,1,1,0,0
"25","AFG",1999,"Afghanistan",0,1,1,-999,-999,-999,-999,NA,0,0,0,NA,700,1,1,0,0
"26","AFG",2000,"Afghanistan",0,1,1,-999,-999,-999,-999,NA,0,0,0,NA,700,1,1,0,0
"27","AFG",2001,"Afghanistan",0,1,1,-999,-999,-999,-999,NA,0,0,0,NA,700,1,1,0,0
"28","AFG",2004,"Afghanistan",0,1,1,-999,-999,-999,-999,NA,0,0,0,NA,700,1,1,0,0
"29","AFG",2005,"Afghanistan",0,1,1,1,0,-999,-999,NA,0,0,0,NA,700,1,1,0,0
"30","AFG",2006,"Afghanistan",0,4,7,1,0,-999,-999,NA,0,0,0,NA,700,1,1,0,0
"31","AFG",2007,"Afghanistan",0,4,7,1,0,-999,-999,2,0,0,0,NA,700,1,1,0,0
"32","AFG",2008,"Afghanistan",0,4,7,1,0,-999,-999,2,0,0,0,NA,700,1,1,0,0
"33","AFG",2009,"Afghanistan",0,4,7,1,0,-999,-999,2,0,0,0,NA,700,1,1,0,0
"34","AFG",2010,"Afghanistan",0,4,7,1,0,-999,-999,2,0,0,0,NA,700,1,1,0,0
"35","AFG",2011,"Afghanistan",0,7,7,1,0,-999,-999,2,0,0,0,NA,700,1,1,0,0
"36","ALB",1975,"Albania",1,3,3,-999,-999,-999,-999,NA,0,1,1,NA,339,0,0,0,0
"37","ALB",1976,"Albania",1,3,3,-999,-999,-999,-999,NA,0,1,1,NA,339,0,0,0,0
"38","ALB",1977,"Albania",1,3,3,-999,-999,-999,-999,NA,0,1,1,NA,339,0,0,0,0
"39","ALB",1978,"Albania",1,3,3,-999,-999,-999,-999,NA,0,1,1,NA,339,0,0,0,0
"40","ALB",1979,"Albania",1,3,3,-999,-999,-999,-999,NA,0,1,1,NA,339,0,0,0,0
"41","ALB",1980,"Albania",1,3,3,-999,-999,-999,-999,NA,0,1,1,NA,339,0,0,0,0
"42","ALB",1981,"Albania",1,3,3,-999,-999,-999,-999,NA,0,1,1,NA,339,0,0,0,0
"43","ALB",1982,"Albania",1,3,3,-999,-999,-999,-999,NA,0,1,1,NA,339,0,0,0,0
"44","ALB",1983,"Albania",1,3,3,-999,-999,-999,-999,NA,0,1,1,NA,339,0,0,0,0
"45","ALB",1984,"Albania",1,3,3,-999,-999,-999,-999,NA,0,1,1,NA,339,0,0,0,0
"46","ALB",1985,"Albania",1,3,3,-999,-999,-999,-999,NA,0,1,1,NA,339,0,0,0,0
